Nombre,Dirección,Localidad,Barrio,Número de locales,coord_x,coord_y
Centro Comercial Caravana,Calle 12 # 9 - 68,Candelaria,La Catedral,13,"-74,0770296309896","4,600916373570126"
Box Coulvert,Calle 12 # 9 - 68,Candelaria,La Catedral,25,"-74,0770296309896","4,600916373570126"
Caseta Feria Popular Rotonda Candelaria,Calle 12 # 6 - 56,Candelaria,La Catedral,18,"-74,07435664804763","4,599037235258419"
Plaza Comercial y Artesanal Furatena,Calle 14 # 8-53,Candelaria,La Catedral,81,"-74,07530332054179","4,601657168931699"
Caseta Feria Popular Rotonda Chapinero,Avenida Caracas # 50 - 60,Chapinero,S.C. Marly,35,"-74,06679733211827","4,637468524142978"
Caseta Feria Popular Kennedy central,Carrera 78 K # 37 A - 11 SUR,Kennedy,Ciudad Kennedy Norte C.R. Francisco Jose De Caldas,72,"-74,15378651730943","4,624282354951402"
Punto Comercial Supermercado La Esperanza,Calle 19 # 22 - 20,Los Mártires,Paloquemao,27,"-74,08369555350426","4,614771866054903"
Caseta Feria Popular Cachivaches,Carrera 17 # 14 - 23,Los Mártires,San Victorino,54,"-74,08181665522231","4,607065239315323"
Galería comercial Plaza España,Carrera 19 # 10 - 25,Los Mártires,La Sabana,370,"-74,08645925551015","4,604807155946276"
San Andresito plaza 38,Carrera 38 # 10 a - 21,Puente Aranda,Los Ejidos,273,"-74,10215255313084","4,61691286654433"
Centro Comercial y Cultural La Veracruz,Calle 17 # 4-65,Santa Fé,Veracruz,63,"-74,07050274791798","4,6020664749707345"
Galería artesanal Avenida 19,Calle 19 # 9-68,Santa Fé,Las Nieves,21,"-74,07359058812953","4,606909183171898"
Alternativa Comercial Manzana 22,Carrera 11 # 9 - 1,Santa Fé,Santa Ines,140,"-74,08001329447595","4,598803008703776"
Caseta Feria Popular Rotonda Santafé,Carrera 7 # 26-88,Santa Fé,San Diego,22,"-74,0693373113976","4,613402796980306"
Galerías calle 53,Avenida Calle 53 # 19-19,Teusaquillo,Banco Central,16,"-74,07106137426055","4,641123672931731"
Galerías Plaza Centro Cultural y Comercial,Carrera 27 # 52-39,Teusaquillo,Galerias,30,"-74,07623567748361","4,6416165245681595"
Punto Comercial Bode Ganga Usme,Avenida carrera 1 # 73 D - 36 Sur,Usme,El Refugio Sector Santa Librada,62,"-74,14451055321149","4,6250548657270265"
