Nombre Estación,Troncal Estación,coord_x,coord_y
CAN,K,"-74,09841268244838","4,645716133054422"
Gobernación,K,"-74,0958880392076","4,641739967309487"
Quinta Paredes,K,"-74,09252637273451","4,636561552274602"
Corferias,K,"-74,08919247588183","4,634066829243283"
Ciudad Universitaria,K,"-74,08367948174552","4,631062129795196"
Av. El Dorado,E,"-74,07977575566032","4,631599929456736"
Profamilia,A,"-74,06976109522616","4,621479930205355"
Universidad Nacional,E,"-74,07933506014825","4,636972810678675"
Campin,E,"-74,07871730759196","4,645291463603946"
Avenida 39,A,"-74,06871993703207","4,626757311878864"
Calle 45,A,"-74,06790330825169","4,631288565728641"
Marly,A,"-74,06680016450638","4,637419924114406"
Calle 57,A,"-74,06585026795862","4,642864927697148"
Calle 63,A,"-74,0648722424644","4,648359750993784"
Patio Bonito,F,"-74,16464478203366","4,633109510274817"
Biblioteca Tintal,F,"-74,15937039660648","4,637797890224204"
Tv 86,F,"-74,1529530774568","4,6350530353741535"
Banderas,F,"-74,14554627929303","4,6312559702333465"
Mandalay,F,"-74,14076041388704","4,6307266836112815"
Mundo Aventura,F,"-74,13522421177537","4,630139609428251"
Marsella,F,"-74,12860264717112","4,629488205861254"
Pradera,F,"-74,1196845386447","4,628608876845554"
Santa Isabel,G,"-74,10218723618563","4,601992374559053"
Comuneros,G,"-74,09991873497168","4,604096572532344"
CDS - Cr 32,F,"-74,09396756599597","4,616082602459654"
Ricaurte,F,"-74,09029205511209","4,612809297343436"
Ricaurte,E,"-74,09361506258692","4,611967305795767"
San Facón Cr 22,F,"-74,08666444239914","4,609581369036932"
Américas - Cr 53A,F,"-74,1102595197866","4,627689730679082"
Puente Aranda,F,"-74,10428717123145","4,625297047221502"
Zona Industrial,F,"-74,09879546267581","4,620362651429076"
Cr 43,F,"-74,101480395906","4,622753544649846"
Paloquemao,E,"-74,0890591802667","4,617485612758115"
Tercer Milenio,H,"-74,08384632224997","4,598063996744361"
De La Sabana,F,"-74,08193928514005","4,605405101732745"
Avenida Jiménez,H,"-74,08045139565351","4,602780856985129"
Av Jiménez,J,"-74,07900750834452","4,602912280189001"
Museo del Oro,J,"-74,07298127794029","4,601125624367509"
Calle 19,A,"-74,07682428150554","4,607854444088354"
Las Nieves,L,"-74,07434220762944","4,606005007078076"
Calle 22,A,"-74,07471892602528","4,611588453775345"
San Diego,L,"-74,07177078012865","4,610333566462084"
Museo Nacional,L,"-74,06926419751663","4,615095915048115"
Aguas,K,"-74,06841649331561","4,60254983188774"
CAD,E,"-74,08418590159705","4,623363196005748"
Plaza de la Democracia,K,"-74,08093681738526","4,626887597082645"
Parque Renacimiento,K,"-74,07742755501606","4,6218744794713045"
Madelena,G,"-74,15601288933317","4,596314788026108"
Sena,G,"-74,10972419843745","4,597796357106347"
San Victorino,L,"-74,07735056131138","4,601037592907489"
Universidades,K,"-74,06689278710036","4,605380740179085"
Guatoque-Veraguas,E,"-74,09470316943268","4,603943867282417"
Tygua-San José,E,"-74,08871846904236","4,599667010090345"
Calle 26,A,"-74,07216855413645","4,616659658907311"
